2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:41,507.FinalProject.INFO Today is 2023-10-06 at 11:10 PM
2023-10-06 23:10:41,507.FinalProject.INFO Running on: nt Windows 10
2023-10-06 23:10:41,507.FinalProject.INFO Python version:  3.10.9
2023-10-06 23:10:41,507.FinalProject.INFO Python path: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project\.venv
2023-10-06 23:10:41,507.FinalProject.INFO Working dir: C:\Users\rp150\rp-venv\44671_StreamingData\Module7\streaming-07-final-project
2023-10-06 23:10:41,507.FinalProject.INFO ==================================================
2023-10-06 23:10:43,638.FinalProject.INFO Reading messages from FinalProjectData.csv...
2023-10-06 23:10:43,638.FinalProject.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-06 23:20:28,646.FinalProject.INFO Prepared binary message b'[1716296,3.00]'....
2023-10-06 23:20:33,678.FinalProject.INFO Prepared binary message b'[1716296,C]'....
2023-10-06 23:20:33,688.FinalProject.INFO Prepared binary message b'[1716296,2.00]'....
2023-10-06 23:20:38,711.FinalProject.INFO Prepared binary message b'[1716430,B-]'....
2023-10-06 23:20:38,712.FinalProject.INFO Prepared binary message b'[1716430,2.70]'....
2023-10-06 23:20:43,741.FinalProject.INFO Prepared binary message b'[1716430,A-]'....
2023-10-06 23:20:43,762.FinalProject.INFO Prepared binary message b'[1716430,3.70]'....
2023-10-06 23:20:48,808.FinalProject.INFO Prepared binary message b'[1716430,B-]'....
2023-10-06 23:20:48,846.FinalProject.INFO Prepared binary message b'[1716430,2.70]'....
2023-10-06 23:20:53,867.FinalProject.INFO Prepared binary message b'[1716430,C-]'....
2023-10-06 23:20:53,867.FinalProject.INFO Prepared binary message b'[1716430,1.70]'....
2023-10-06 23:20:58,901.FinalProject.INFO Prepared binary message b'[1716430,D-]'....
2023-10-06 23:20:58,901.FinalProject.INFO Prepared binary message b'[1716430,0.70]'....
2023-10-06 23:21:03,925.FinalProject.INFO Prepared binary message b'[1716430,A-]'....
2023-10-06 23:21:03,963.FinalProject.INFO Prepared binary message b'[1716430,3.70]'....
2023-10-06 23:21:08,998.FinalProject.INFO Prepared binary message b'[1716430,C-]'....
2023-10-06 23:21:08,998.FinalProject.INFO Prepared binary message b'[1716430,1.70]'....
2023-10-06 23:21:14,040.FinalProject.INFO Prepared binary message b'[1716430,D]'....
2023-10-06 23:21:14,074.FinalProject.INFO Prepared binary message b'[1716430,1.00]'....
